ok [33, 2, 3, 8, 21, 28]   [33, 2, 3, 8, 21, 28]
ok [33, 3, 4, 10, 12, 15]   [33, 3, 4, 10, 12, 15]
ok [33, 2, 7, 13, 14, 15]   [33, 2, 7, 13, 14, 15]
ok [3, 17, 21, 27, 28, 29]   [3, 17, 21, 27, 28, 29]
ok [3, 4, 6, 22, 29, 31]   [3, 4, 6, 22, 29, 31]
ok [13, 18, 23, 26, 27, 28]   [13, 18, 23, 26, 27, 28]
ok [1, 7, 10, 18, 19, 29]   [1, 7, 10, 18, 19, 29]
ok [3, 5, 9, 20, 29, 31]   [3, 5, 9, 20, 29, 31]
ok [3, 10, 14, 19, 22, 28]   [3, 10, 14, 19, 22, 28]
ok [33, 3, 10, 14, 15, 28]   [33, 3, 10, 14, 15, 28]
ok [5, 16, 20, 25, 26, 28]   [5, 16, 20, 25, 26, 28]
ok [2, 6, 18, 23, 27, 31]   [2, 6, 18, 23, 27, 31]
ok [7, 19, 22, 23, 25, 26]   [7, 19, 22, 23, 25, 26]
ok [32, 8, 14, 19, 20, 28]   [32, 8, 14, 19, 20, 28]
ok [7, 12, 15, 18, 20, 27]   [7, 12, 15, 18, 20, 27]
ok [32, 1, 9, 13, 18, 30]   [32, 1, 9, 13, 18, 30]
ok [33, 16, 19, 22, 28, 31]   [33, 16, 19, 22, 28, 31]
ok [2, 4, 6, 8, 10, 15]   [2, 4, 6, 8, 10, 15]
ok [32, 2, 5, 10, 19, 25]   [32, 2, 5, 10, 19, 25]
ok [32, 33, 10, 18, 19, 30]   [32, 33, 10, 18, 19, 30]
ok [5, 22, 23, 24, 25, 31]   [5, 22, 23, 24, 25, 31]
ok [2, 4, 10, 12, 19, 31]   [2, 4, 10, 12, 19, 31]
ok [33, 19, 21, 22, 25, 29]   [33, 19, 21, 22, 25, 29]
ok [8, 10, 12, 23, 25, 26]   [8, 10, 12, 23, 25, 26]
ok [32, 3, 9, 11, 13, 14]   [32, 3, 9, 11, 13, 14]
ok [33, 1, 9, 15, 17, 18]   [1, 33, 9, 15, 17, 18]
ok [9, 14, 17, 26, 29, 31]   [9, 14, 17, 26, 29, 31]
ok [33, 5, 16, 21, 24, 30]   [33, 5, 16, 21, 24, 30]
ok [3, 14, 16, 21, 26, 27]   [3, 14, 16, 21, 26, 27]
ok [3, 9, 18, 25, 26, 27]   [3, 9, 18, 25, 26, 27]
ok [2, 14, 16, 27, 28, 30]   [2, 14, 16, 27, 28, 30]
ok [33, 2, 3, 5, 15, 28]   [33, 2, 3, 5, 15, 28]
ok [32, 1, 14, 22, 24, 31]   [32, 1, 14, 22, 24, 31]
ok [1, 2, 5, 16, 17, 25]   [1, 2, 5, 16, 17, 25]
ok [1, 5, 11, 20, 24, 28]   [1, 5, 11, 20, 24, 28]
ok [10, 23, 24, 25, 28, 30]   [10, 23, 24, 25, 28, 30]
ok [32, 5, 21, 22, 25, 31]   [32, 5, 21, 22, 25, 31]
ok [3, 6, 16, 20, 22, 31]   [3, 6, 16, 20, 22, 31]
ok [2, 3, 8, 11, 22, 30]   [2, 3, 8, 11, 22, 30]
ok [1, 33, 14, 15, 26, 31]   [33, 1, 14, 15, 26, 31]
ok [6, 8, 13, 17, 19, 28]   [6, 8, 13, 17, 19, 28]
